loc;unit size
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(52535,15275,<1386,4>,<1761,5>);360
|java+compilationUnit:///src/smallsql/database/DateTime.java|(9931,9699,<340,1>,<632,2>);289
|java+compilationUnit:///src/smallsql/junit/TestDataTypes.java|(3418,9246,<83,4>,<312,5>);219
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(18644,9508,<530,4>,<718,5>);188
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(1621,9201,<46,4>,<250,5>);184
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(2725,5781,<101,0>,<261,2>);153
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(22627,6766,<655,4>,<814,5>);151
|java+compilationUnit:///src/smallsql/junit/BasicTestCase.java|(7072,6395,<210,4>,<333,5>);116
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(44098,7343,<1221,4>,<1345,5>);114
|java+compilationUnit:///src/smallsql/database/DateTime.java|(4929,3732,<170,1>,<288,2>);109
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(26228,4410,<748,4>,<865,5>);107
|java+compilationUnit:///src/smallsql/database/Table.java|(11663,4506,<340,4>,<451,2>);99
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(39586,4504,<1121,1>,<1219,5>);94
|java+compilationUnit:///src/smallsql/database/JoinScroll.java|(2486,3786,<80,4>,<175,5>);94
|java+compilationUnit:///src/smallsql/junit/TestOperatoren.java|(6811,4518,<149,4>,<251,5>);88
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionConvert.java|(3217,3093,<114,1>,<203,2>);88
|java+compilationUnit:///src/smallsql/database/CommandSelect.java|(1992,3288,<60,4>,<158,5>);83
|java+compilationUnit:///src/smallsql/junit/TestExceptionMethods.java|(1501,2923,<44,4>,<126,5>);71
|java+compilationUnit:///src/smallsql/database/CommandInsert.java|(4131,3260,<114,4>,<189,5>);70
|java+compilationUnit:///src/smallsql/database/IndexScrollStatus.java|(2347,2542,<66,1>,<147,2>);69
|java+compilationUnit:///src/smallsql/database/Index.java|(8083,2880,<220,1>,<291,2>);66
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(18301,2820,<468,4>,<537,5>);65
|java+compilationUnit:///src/smallsql/database/Index.java|(5028,3047,<139,1>,<217,2>);65
|java+compilationUnit:///src/smallsql/database/Table.java|(17465,2175,<491,1>,<565,2>);63
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(12166,1888,<292,1>,<354,2>);62
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(57166,2557,<1466,4>,<1527,5>);62
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(51452,3101,<1336,4>,<1400,5>);62
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(29511,2758,<822,4>,<886,5>);62
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(48523,2915,<1270,4>,<1333,5>);61
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(32283,2708,<889,4>,<952,5>);61
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(11485,2480,<338,4>,<409,5>);60
|java+compilationUnit:///src/smallsql/junit/TestLanguage.java|(5779,3074,<206,1>,<285,2>);60
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(35005,2639,<955,4>,<1017,5>);60
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(40303,2625,<1085,4>,<1147,5>);60
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(37658,2631,<1020,4>,<1082,5>);60
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(54567,2591,<1403,4>,<1464,5>);59
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(70508,2890,<1834,4>,<1899,5>);59
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(1839,2044,<52,1>,<112,2>);57
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(21908,2864,<643,4>,<706,5>);56
|java+compilationUnit:///src/smallsql/junit/TestScrollable.java|(8740,2225,<202,4>,<268,5>);56
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(42936,2650,<1149,4>,<1205,5>);56
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(45600,2913,<1208,4>,<1267,5>);56
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(19336,2557,<580,4>,<640,5>);56
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionSoundex.java|(1939,1410,<64,4>,<119,2>);55
|java+compilationUnit:///src/smallsql/database/SSResultSetMetaData.java|(4724,1563,<161,1>,<215,2>);55
|java+compilationUnit:///src/smallsql/junit/TestStatement.java|(9479,2934,<243,4>,<304,5>);55
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(14338,1837,<417,4>,<471,5>);55
|java+compilationUnit:///src/smallsql/database/LongTreeList.java|(7219,1623,<254,1>,<314,2>);54
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(16193,2433,<474,4>,<527,5>);53
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(9830,2697,<247,4>,<303,5>);51
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(12551,2566,<307,4>,<364,5>);51
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(22731,2567,<577,4>,<626,5>);50
|java+compilationUnit:///src/smallsql/database/Utils.java|(2495,1577,<71,1>,<122,2>);50
|java+compilationUnit:///src/smallsql/junit/TestStatement.java|(6692,2769,<183,4>,<240,5>);50
|java+compilationUnit:///src/smallsql/database/DateTime.java|(22160,1037,<737,2>,<790,3>);49
|java+compilationUnit:///src/smallsql/database/SSDatabaseMetaData.java|(13607,1812,<677,4>,<727,5>);49
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(3589,2747,<93,4>,<149,5>);48
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(10333,2276,<325,4>,<379,5>);48
|java+compilationUnit:///src/smallsql/junit/TestResultSet.java|(7201,2678,<185,4>,<247,5>);48
|java+compilationUnit:///src/smallsql/database/LongTreeList.java|(5765,1445,<199,1>,<251,2>);48
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(21582,2559,<508,4>,<559,5>);47
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(1836,2262,<52,4>,<99,5>);47
|java+compilationUnit:///src/smallsql/database/CommandTable.java|(2490,2433,<78,4>,<130,5>);47
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(18742,2820,<453,4>,<504,5>);46
